Checked,DOI,Donor,Acceptor,Donor SMILES,Acceptor SMILES,Voc,Jsc,FF,PCE,HOMO_A,LUMO_A,Ehl_A,Eg_A,HOMO_D,LUMO_D,Ehl_D,Eg_D
YES,10.1002/solr.202100281,PBDB-TF,Y25,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCC(CC)CN1N=C2C(=N1)C1=C(C3=C2C2=C(C=C(/C=C4\C(=O)C5=CC(F)=C(F)C=C5C4=C(C#N)C#N)S2)N3CC(CC)CCCC)N(CC(CC)CCCC)C2=C1SC(/C=C1\C(=O)C3=CC(F)=C(F)C=C3C1=C(C#N)C#N)=C2,0.8,20.19,0.721,11.65,-5.49,-4.06,1.43,,-5.49,-3.64,1.85,1.8
YES,10.1002/ange.202110550,PBDB-TF,L8-BO,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC(CCCC)CC1=C(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)SC2=C1SC1C3=C(C4=C(C5=NSN=C35)C3=C(C5=C(S3)C(CC(CCCC)CCCCCC)=C(/C=C3\C(=O)C6=CC(F)=C(F)C=C6C3=C(C#N)C#N)S5)N4CC(CC)CCCC)N(CC(CC)CCCC)C21,0.89,26.37,0.799,18.77,-5.68,-3.9,1.78,,-5.49,-3.64,1.85,1.8
YES,10.1002/anie.202007907,PBDB-TF,M8,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC(CCCC)CN1C2=C(SC(/C=C3\C(=O)C4=CC(F)=C(F)C=C4C3=C(C#N)C#N)=C2)C2=C1C1=C(O2)C(OCC(CC)CCCC)=C2C(=C1OCC(CC)CCCC)OC1=C2N(CC(CCCC)CCCCCC)C2=C1SC(/C=C1\C(=O)C3=CC(F)=C(F)C=C3C1=C(C#N)C#N)=C2,0.83,8.36,0.606,4.21,-5.49,-3.91,1.58,1.28,-5.49,-3.64,1.85,1.8
YES,10.1002/anie.202007907,PBDB-TF,M34,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC(CCCC)CN1C2=C(SC(/C=C3\C(=O)C4=CC(F)=C(F)C=C4C3=C(C#N)C#N)=C2)C2=C1C1=C(S2)C(OCC(CC)CCCC)=C2C(=C1OCC(CC)CCCC)SC1=C2N(CC(CCCC)CCCCCC)C2=C1SC(/C=C1\C(=O)C3=CC(F)=C(F)C=C3C1=C(C#N)C#N)=C2,0.91,23.63,0.707,15.24,-5.6,-3.91,1.69,1.39,-5.49,-3.64,1.85,1.8
YES,10.1002/solr.202100281,PBDB-TF,Y26,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC1=C(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)SC2=C1N(CC(CC)CCCC)C1=C2C2=NN(CC(CC)CCCC)N=C2C2=C1N(CC(CC)CCCC)C1=C2SC(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1CCCCCC,0.83,21.63,0.743,13.34,-5.58,-4.03,1.55,,-5.49,-3.64,1.85,1.8
YES,10.1021/acsaem.0c00689,PBDB-TF,N65-2FIC,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C4=C2C2=C(C=C(/C=C5\C(=O)C6=CC(F)=C(F)C=C6C5=C(C#N)C#N)S2)S4)C2=C4C(=C3)C3=C(C5=C(C=C(/C=C6\C(=O)C7=CC(F)=C(F)C=C7C6=C(C#N)C#N)S5)S3)C(C3=CC=C(CCCCCC)C=C3)(C3=CC=C(CCCCCC)C=C3)C4=CC=C2)C=C1,0.82,21.49,0.58,10.19,-5.6,-4.03,1.57,1.4,-5.49,-3.64,1.85,1.8
YES,10.1021/acsaem.0c00689,PBDB-TF,N65-IC,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C4=C2C2=C(C=C(/C=C5\C(=O)C6=CC=CC=C6C5=C(C#N)C#N)S2)S4)C2=C4C(=C3)C3=C(C5=C(C=C(/C=C6\C(=O)C7=CC=CC=C7C6=C(C#N)C#N)S5)S3)C(C3=CC=C(CCCCCC)C=C3)(C3=CC=C(CCCCCC)C=C3)C4=CC=C2)C=C1,0.87,15.07,0.51,6.67,-5.52,-3.89,1.63,1.48,-5.49,-3.64,1.85,1.8
YES,10.1016/j.orgel.2021.106357,PBDB-TF,ITCC-Br,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C5=C(C=C(/C=C6\C(=O)C7=C(C=C(Br)S7)C6=C(C#N)C#N)S5)S3)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C2=C(C=C(/C=C4\C(=O)C5=C(C=C(Br)S5)C4=C(C#N)C#N)S2)S3)C=C1,0.99,16.2,0.649,10.7,-5.74,-3.91,1.83,1.64,-5.49,-3.64,1.85,1.8
YES,10.1016/j.orgel.2021.106357,PBDB-TF,IDTT-Br-2F,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C5=C(C=C(/C=C6\C(=O)C7=C(C=C(Br)S7)C6=C(C#N)C#N)S5)S3)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C2=C(C=C(/C=C4\C(=O)C5=CC(F)=C(F)C=C5C4=C(C#N)C#N)S2)S3)C=C1,0.94,18.4,0.687,12.1,-5.79,-3.99,1.8,1.58,-5.49,-3.64,1.85,1.8
YES,10.1021/acs.chemmater.0c04318,PBDB-TF,AOIC,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C5=C(S3)C3=C(C6=C(C=C(/C=C7\C(=O)C8=CC(F)=C(F)C=C8C7=C(C#N)C#N)S6)S3)C5(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C=C(/C=C2\C(=O)C4=CC(F)=C(F)C=C4C2=C(C#N)C#N)S3)C=C1,0.822,21.09,0.528,9.16,-5.5,-3.93,1.57,1.44,-5.49,-3.64,1.85,1.8
YES,10.1021/acs.chemmater.0c04318,PBDB-TF,AOIC2,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C5=C(S3)C3=C(S5)C5=C(C=C(/C=C6\C(=O)C7=C(C=C(F)C(F)=C7)C6=C(C#N)C#N)S5)C3(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C=C(/C=C2\C(=O)C4=CC(F)=C(F)C=C4C2=C(C#N)C#N)S3)C=C1,0.918,19.41,0.662,11.8,-5.62,-3.83,1.79,1.54,-5.49,-3.64,1.85,1.8
YES,10.1021/acs.chemmater.0c04318,PBDB-TF,AOIC1,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C2(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3)C=C1,0.878,21.4,0.639,12,-5.53,-3.94,1.59,1.51,-5.49,-3.64,1.85,1.8
YES,10.1002/smll.202001942,PBDB-TF,BDTP-4F,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCCCC1=C(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)SC2=C1N(CC(CCCC)CCCCCC)C1=C2C2=NSN=C2C2=C1N(CC(CCCC)CCCCCC)C1=C2SC2=C1N(CC(CC)CCCC)C1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1,0.895,22.54,0.755,15.24,-5.61,-3.9,1.71,1.36,-5.49,-3.64,1.85,1.8
YES,10.1002/smll.202001942,PBDB-TF,BTDTP-4F,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2N(CC(CC)CCCC)C2=C1SC(/C=C1\C(=O)C3=CC(F)=C(F)C=C3C1=C(C#N)C#N)=C2,0.866,21.25,0.713,13.12,-5.56,-3.93,1.63,1.3,-5.49,-3.64,1.85,1.8
YES,10.1016/j.solener.2018.09.077,PBDTTT-E-T,SSBR,CCCCC(CC)COC(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(C3=CC=C(/C=C4\SC(=S)N(CC)C4=O)C4=NSN=C34)=C2)C2=C1C=C(C1=CC=C(/C=C3\SC(=S)N(CC)C3=O)C3=NSN=C13)S2,0.83,10.04,0.381,3.36,-5.44,-3.72,1.72,1.53,-5.09,-3.22,1.87,
YES,10.1016/j.solener.2018.09.077,P3HT,SSBR,CCCCCCc1cc(C)sc1C,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(C3=CC=C(/C=C4\SC(=S)N(CC)C4=O)C4=NSN=C34)=C2)C2=C1C=C(C1=CC=C(/C=C3\SC(=S)N(CC)C3=O)C3=NSN=C13)S2,0.74,1.09,0.294,0.26,-5.44,-3.72,1.72,1.53,-5.01,-3.12,1.89,
YES,10.1007/s11426-019-9618-7,P3HT,Qx3,CCCCCCc1cc(C)sc1C,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C2=C5N=C(C6=CC=CC=C6)C(C6=CC=CC=C6)=NC5=C(/C=C5/SC(=C(C#N)C#N)N(CC)C5=O)C=C2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=CC=C(/C=C4/SC(=C(C#N)C#N)N(CC)C4=O)C4=NC(C5=CC=CC=C5)=C(C5=CC=CC=C5)N=C34)=C2)C=C1,0.89,5.57,0.68,3.37,-5.38,-3.56,1.82,1.64,-5.01,-3.12,1.89,
YES,10.1007/s11426-019-9618-7,P3HT,Qx3b,CCCCCCc1cc(C)sc1C,CCCCCCCCC1(CCCCCCCC)C2=C(C=C3C(=C2)C2=C(C=C(C4=C5N=C(C6=CC=CC=C6)C(C6=CC=CC=C6)=NC5=C(/C=C5/SC(=C(C#N)C#N)N(CC)C5=O)C=C4)S2)C3(CCCCCCCC)CCCCCCCC)C2=C1C=C(C1=CC=C(/C=C3/SC(=C(C#N)C#N)N(CC)C3=O)C3=NC(C4=CC=CC=C4)=C(C4=CC=CC=C4)N=C13)S2,0.75,12.87,0.66,6.37,-5.27,-3.63,1.64,1.59,-5.01,-3.12,1.89,
YES,10.1007/s11426-019-9618-7,P3HT,Qx3c,CCCCCCc1cc(C)sc1C,CCCCCCCCC1(CCCCCCCC)C2=C(C=C3C(=C2)C2=C(C=C(C4=CC=C(/C=C5/SC(=C(C#N)C#N)N(CC)C5=O)C5=NC=CN=C45)S2)C3(CCCCCCCC)CCCCCCCC)C2=C1C=C(C1=CC=C(/C=C3/SC(=C(C#N)C#N)N(CC)C3=O)C3=NC=CN=C13)S2,0.75,0.14,0.3,0.03,-5.3,-3.59,1.71,1.6,-5.01,-3.12,1.89,
YES,10.1016/j.orgel.2021.106357,PBDB-T-2Cl,ITCC-Br,CCCCC(CC)CC1=C(Cl)C=C(C2=C3SC=CC3=C(C3=CC(Cl)=C(CC(CC)CCCC)S3)C3=C2C=C(C2=CC=C(C4=C5C(=O)C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C(=O)C5=C(C5=CC=CS5)S4)S2)S3)S1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C5=C(C=C(/C=C6\C(=O)C7=C(C=C(Br)S7)C6=C(C#N)C#N)S5)S3)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C2=C(C=C(/C=C4\C(=O)C5=C(C=C(Br)S5)C4=C(C#N)C#N)S2)S3)C=C1,1.04,15.9,0.638,10.5,-5.74,-3.91,1.83,1.64,-5.52,-3.6,1.92,
YES,10.1016/j.orgel.2021.106357,PBDB-T-2Cl,IDTT-Br-2F,CCCCC(CC)CC1=C(Cl)C=C(C2=C3SC=CC3=C(C3=CC(Cl)=C(CC(CC)CCCC)S3)C3=C2C=C(C2=CC=C(C4=C5C(=O)C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C(=O)C5=C(C5=CC=CS5)S4)S2)S3)S1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C5=C(C=C(/C=C6\C(=O)C7=C(C=C(Br)S7)C6=C(C#N)C#N)S5)S3)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C2=C(C=C(/C=C4\C(=O)C5=CC(F)=C(F)C=C5C4=C(C#N)C#N)S2)S3)C=C1,0.97,17.4,0.661,11.4,-5.79,-3.99,1.8,1.58,-5.52,-3.6,1.92,
YES,10.1002/solr.202000250,PBDB-T-2Cl,TPIC-4Cl,CCCCC(CC)CC1=C(Cl)C=C(C2=C3SC=CC3=C(C3=CC(Cl)=C(CC(CC)CCCC)S3)C3=C2C=C(C2=CC=C(C4=C5C(=O)C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C(=O)C5=C(C5=CC=CS5)S4)S2)S3)S1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\C(=O)C5=CC(Cl)=C(Cl)C=C5C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2N(CC(CC)CCCC)C2=C3SC(/C=C3\C(=O)C4=CC(Cl)=C(Cl)C=C4C3=C(C#N)C#N)=C2)C=C1,0.885,22.89,0.757,15.4,,,,,-5.52,-3.6,1.92,
YES,10.1002/solr.202000250,PBDB-T-2Cl,TPIC-4F,CCCCC(CC)CC1=C(Cl)C=C(C2=C3SC=CC3=C(C3=CC(Cl)=C(CC(CC)CCCC)S3)C3=C2C=C(C2=CC=C(C4=C5C(=O)C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C(=O)C5=C(C5=CC=CS5)S4)S2)S3)S1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\C(=O)C5=CC(F)=C(F)C=C5C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2N(CC(CC)CCCC)C2=C3SC(/C=C3\C(=O)C4=CC(F)=C(F)C=C4C3=C(C#N)C#N)=C2)C=C1,0.901,22.35,0.742,14.9,,,,,-5.52,-3.6,1.92,
YES,10.1002/solr.202000250,PBDB-T-2Cl,TPIC,CCCCC(CC)CC1=C(Cl)C=C(C2=C3SC=CC3=C(C3=CC(Cl)=C(CC(CC)CCCC)S3)C3=C2C=C(C2=CC=C(C4=C5C(=O)C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C(=O)C5=C(C5=CC=CS5)S4)S2)S3)S1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\C(=O)C5=CC=CC=C5C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2N(CC(CC)CCCC)C2=C3SC(/C=C3\C(=O)C4=CC=CC=C4C3=C(C#N)C#N)=C2)C=C1,1.003,18.51,0.711,13.2,,,,,-5.52,-3.6,1.92,
YES,10.1021/acs.macromol.0c00405,PBB,Y6,CCCCC(CC)CC1=CC=C(C2=C3C=C(C4=C5C(=O)C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C(=O)C5=CS4)SC3=C(C3=CC=C(CC(CC)CCCC)S3)C3=C2SC=C3)S1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.84,4.25,0.424,1.51,-5.65,-4.09,1.56,1.36,-5.54,-3.59,1.95,1.95
YES,10.1002/solr.201800246,PBT1-C,TTPTTT-4F,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CCCC)CCCCCC)cc3)c3cc(C)sc23)cc1,CCCCCCC1=CCC(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C5=C(S3)C3=C(C=C(/C=C6\C(=O)C7=C(C=C(F)C(F)C7)C6=C(C#N)C#N)S3)S5)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C2=C(C=C(/C=C4\C(=O)C5=CC(F)=C(F)C=C5C4C(C#N)C#N)S2)S3)C=C1,0.863,19.36,0.721,12.05,-5.69,-4.12,1.57,1.52,-5.43,-3.37,2.06,1.87
YES,10.1002/solr.201800246,PBT1-C,TTPTTT-2F,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CCCC)CCCCCC)cc3)c3cc(C)sc23)cc1,CCCCCCC1=CCC(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C5=C(S3)C3=C(C=C(/C=C6\C(=O)C7=C(C=C(F)CC7)C6=C(C#N)C#N)S3)S5)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C2=C(C=C(/C=C4\C(=O)C5=CC=C(F)C=C5C4C(C#N)C#N)S2)S3)C=C1,0.92,16.78,0.746,11.52,-5.67,-4.04,1.63,1.54,-5.43,-3.37,2.06,1.87
YES,10.1002/solr.201800246,PBT1-C,TTPTTT-IC,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CCCC)CCCCCC)cc3)c3cc(C)sc23)cc1,CCCCCCC1=CCC(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C5=C(S3)C3=C(C=C(/C=C6\C(=O)C7=C(C=CCC7)C6=C(C#N)C#N)S3)S5)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C2=C(C=C(/C=C4\C(=O)C5=CC=CC=C5C4C(C#N)C#N)S2)S3)C=C1,0.996,12.47,0.637,7.91,-5.64,-3.87,1.77,1.6,-5.43,-3.37,2.06,1.87
YES,10.1002/ange.202100390,J52,BN-4F,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1,CCCCC(CC)COC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC6=C(C=C(F)C(F)=C6)C=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(OCC(CC)CCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=CC5=CC(F)=C(F)C=C5C=C4C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,0.792,25.76,0.649,13.24,-5.44,-4.06,1.38,1.38,-5.2,-3.05,2.15,1.96
YES,10.1002/ange.202100390,J52,BN-2F,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1,CCCCC(CC)COC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC6=C(C=C(F)C=C6)C=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(OCC(CC)CCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=CC5=CC(F)=CC=C5C=C4C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,0.813,25.25,0.708,14.53,-5.39,-3.99,1.4,1.4,-5.2,-3.05,2.15,1.96
YES,10.1002/ange.202100390,J52,BN-0F,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1,CCCCC(CC)COC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC6=C(C=CC=C6)C=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(OCC(CC)CCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=CC5=CC=CC=C5C=C4C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,0.835,21.1,0.601,11,-5.35,-3.94,1.41,1.41,-5.2,-3.05,2.15,1.96
YES,10.1021/acs.chemmater.0c04318,J71,AOIC,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C5=C(S3)C3=C(C6=C(C=C(/C=C7\C(=O)C8=CC(F)=C(F)C=C8C7=C(C#N)C#N)S6)S3)C5(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C=C(/C=C2\C(=O)C4=CC(F)=C(F)C=C4C2=C(C#N)C#N)S3)C=C1,0.783,19.82,0.675,10.5,-5.5,-3.93,1.57,1.44,-5.4,-3.24,2.16,1.96
